id,package,review,link,topic
7c96ccfa-afc9-11e6-afbf-c4b301cdf627,com.amaze.filemanager,FYI-Crashes when I click Movies bookmark On the side menu  I clicked on 'Movies' bookmark. The app crashed all of a sudden. I had no Movies folder that time.,#4,bookmark
7c96d36b-afc9-11e6-802a-c4b301cdf627,com.amaze.filemanager,Great !!!!! but crashes Nice job so far But saving the 5th star for when its a little more stable.,no,
7c96d3ee-afc9-11e6-ada1-c4b301cdf627,com.amaze.filemanager,Just crashes Tried to delete file and it crashed. Tried to copy a file and it crashed. Though this would be good replacement for ESFile but it fails miserably.,no,copying
7c96da0f-afc9-11e6-a6cf-c4b301cdf627,com.amaze.filemanager,Was using it but now just crashes Installed Amaze some months ago but now I can't use it. I go to open it and it always reports 'Amaze has stopped'. Using a Nexus 5,no,
7c96dce8-afc9-11e6-a00d-c4b301cdf627,com.amaze.filemanager,Constantly crashes I love that this is open source  but the fact that it crashes all the time is a real problem. I'll try on another device soon.,no,
7c96e226-afc9-11e6-acde-c4b301cdf627,com.amaze.filemanager,Its really great except... I am not able to delete files/folders.The app is crashing when I try to do so. Even after the latest update,no,delete
7c96e619-afc9-11e6-a4b5-c4b301cdf627,com.amaze.filemanager,Crash issue Just installed and tried. IT CRASHES everytime I try to rename a file. OS is jellybean on MT6589 chip  so I guess it should work fine. So uninstalling as of now.,#2,rename
7c96eba3-afc9-11e6-86a7-c4b301cdf627,com.amaze.filemanager,Crashes  nice interface Looks good but crashes on create folder,#2,rename
7c96ec9e-afc9-11e6-af35-c4b301cdf627,com.amaze.filemanager,Crash On Nexus 5 with 6.0.1 when I try to open as card folder the app crash.,#5,recent
7c96ee23-afc9-11e6-9ce8-c4b301cdf627,com.amaze.filemanager,Works well Had a problem with the previous update where the app would crash on open. The 10/6 update fixed the issue. Very quick response from the developer.,no,
7c96f07a-afc9-11e6-9183-c4b301cdf627,com.amaze.filemanager,yeah! ... you fixed the crashing,no,
7c96f20a-afc9-11e6-afb0-c4b301cdf627,com.amaze.filemanager,Every time I press the the recent apps button the app crashes.,#5,rename
7c96f387-afc9-11e6-809e-c4b301cdf627,com.amaze.filemanager,As others are saying  it updated this morning and now crashes every time I open it. This is a great app! I use it all the time. PLEASE fix it ASAP!,no,open
7c96f40a-afc9-11e6-8de7-c4b301cdf627,com.amaze.filemanager,Crashed,no,
33908e20-bb09-11e6-813c-fa163e345ce9,com.amaze.filemanager,simple  fast and quick fast and simple file manager. does the job well without any bloatware. the SMB functionality needs more polish it crashes when i play remote video files,no,smb
35654e25-bb09-11e6-813c-fa163e345ce9,com.amaze.filemanager,Crashes when i try to cut and then paste a file into another storage (phone Xperia V),no,copying
9404dea8-c18f-11e6-862e-fa163e345ce9,com.amaze.filemanager,Crash Whenever I copy anything from internal to external storage  the app crashes. Please fix. Device: D6653 android 6.0.1,no,copying
af746751-c8a1-11e6-94bc-fa163e345ce9,com.amaze.filemanager,Crashing after the update New update is crashing whenever I try to move it copy!! Fix it please,no,copying
6716e8b2-cafd-11e6-807e-fa163e345ce9,com.amaze.filemanager,Liked it a lot  but... On my Moto X Play running Cyanogenmod 14.1 crashes when trying to work on the SD card.,no,sd
eac7e45b-ce21-11e6-998a-fa163e345ce9,com.amaze.filemanager,Buggy Multi pane is fixed. Now it force closes when you delete something,no,delete
d9b01c91-e9a2-11e6-aa52-fa163e345ce9,com.amaze.filemanager,Great interface. no ads or intrusive content and/or useless features. _ȫ� However the app doesn't move files it just copies them around. And it can crash when given lage files to handle. Fix those issues and you'll get a full 5stars rating! _��_ Wow Amaze great moves! Keep it up. I'm proud of you!,no,copying
03abd5d6-f313-11e6-885c-000c29dba5da,com.amaze.filemanager,When I select a couple of pictures and I cut them and then paste in the SD card the app crashes im running Android 4.4.4,no,cut/paste
04d03197-f313-11e6-885c-000c29dba5da,com.amaze.filemanager,I really like the app  but lately I've been having problems with file actions  after trying something (paste  delete  rename  etc.) It crashes out :(,#2,rename
1c421d55-0393-11e7-bc67-000c29dba5da,com.amaze.filemanager,Reliably crashes when switching from another app,no,switch
622f06b8-209e-11e7-b9a0-000c29dba5da,com.amaze.filemanager,Looks great. It does crash every now and then though,no,
59cf57a2-2d00-11e7-8745-000c29dba5da,com.amaze.filemanager,When using the root explorer  it literally crashes my entire device.,no,root
c72d6f87-2f8c-11e7-8be7-000c29dba5da,com.amaze.filemanager,When using the root explorer  it literally crashes my entire device. It also crashes when trying to change drawer image. Not stable on the MI5.,no,root
c90bf38b-2f8c-11e7-8be7-000c29dba5da,com.amaze.filemanager,Every time I press the the recent apps button the app crashes.,#5,recent
213bedac-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Nice until it crashes full of data I have been using for several years accumulating data today it crashes and I lost all my reports.,no,
4d0c5b5d-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,"Average Odometer does not let me enter tenths of a mile; sometimes the app crashes when I try to enter anything in the """"""""""""""""Extra Data"""""""""""""""" field""""",#1,
78c32789-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Good app  suggestions for import improvements Pretty good. Import crashes if there are missing fields App is set to enter volume and total price  import with volume and price but no price per unit  will end up showing $1.00 in price per unit. Editing and saving without change updates to the correct values. With only one car you still have to have an ID column it could skip this and allow choosing a single car. It could recognise names of columns in CSV import rather than requiring you to enter them all even if the names match.,no,import
8400f65e-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Cannot import data to G Note2 I can't import the data from my old HTC Thunderbolt to my new Galaxy Note 2. App force closes during import. Also no statistic charts or graphs in Jelly Besn version  unlike the Gingerbread version which does. Waiting for developer to respond.,no,import
9b4c181f-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Force close. Haven't been able to add new fill-ups for the last two updates.,no,
a06a84eb-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,ICS and JB Crashes on my galaxy nexus when loading graphs. One of my favorite apps. Been running it for 2+ years.,no,plot
a6110d77-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Perfect for what I need Works perfectly on HTC Incredible & Razr Maxx. I had a little trouble with import  so with next phone I simply sent myself the backup file automatically created on old phone & dropped it into folder on new phone. Viola  all mileage data is there & no crashes.,no,import
c34b5a6e-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,It worked fine until I upgraded it. Now all it does is stop  force close all the time. I even tried uninstalling and reinstalling. Still does not work,no,
c515ba35-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,crash crash Does not work on Galaxy Note. Force close every time.,no,
de4f3f5d-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Galaxy nexus Fixed force close issues. App is so freaking awesome. Thank you!!,no,
e0c79265-df4d-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,good but no plots on gnex Used to get plots on my Droid incredible but every time I try to view plots on galaxy nexus it crashes the app.,no,plot
0914577d-df4e-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Buggy Constantly crashes when calculating statistics with ICS,no,stats
793aabc8-df4e-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Would be excellent if restore from another device worked! Instead it crashes.,no,restore
e13d41b2-df4e-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Been using this since I got the Droid and it was working great. Now it just keeps crashing upon opening even after uninstalling and reinstalling!,no,
4ccfb5e2-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,After updating  it force closes and won't even open on my motorola droid.,no,
5612ed39-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Loved it b4 this update now it wont open! Force closes on my moment!,no,
583d203f-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Worked fine until last update. Just plain crashes when trying to enter the fill up info. Well this sucks... Droid 2,no,fill up
88940033-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Update wont open  just force closes.,no,
893c7536-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Started force closing every time try to save new entry  fix this and my rating would be 5 stars,no,
8e6e6a02-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Force closes on moto Droid. Was great...,no,
90b4b088-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Force close after update. Still not fixed,no,
c42d91f1-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Latest update force crashes,no,
c56cc8b5-df4f-11e6-8f37-fa163e345ce9,com.evancharlton.mileage,Force closes when opening after upgrade.,no,
