id,package,review,link,topic
7ce14668-afc9-11e6-97ab-c4b301cdf627,com.ringdroid,Constantly Crashes I've submitted multiple reports of the application closing as soon as I try to do anything in it. The problem has not been resolved even though it has been a couple weeks. It used to be a fairly good application before this drastic error.,no,crash
7ce147ba-afc9-11e6-ad4a-c4b301cdf627,com.ringdroid,Can't search Constantly force closes when I try to search for a song,#3,search
7ce15811-afc9-11e6-b260-c4b301cdf627,com.ringdroid,If it's not broke..... I agree with others. I've used this app for the past 3 years and never had a problem. Over the course of the past month or so  it force closes  will not open sometimes  it will not let me send or it just crashes causing me to have to restart.,no,force
7ce1610a-afc9-11e6-a2c2-c4b301cdf627,com.ringdroid,Crashing Crashes every time I try and search for a song.,#3,search
7ce16382-afc9-11e6-943b-c4b301cdf627,com.ringdroid,Crash I recently upgraded to Marshmallow. App now crashes every time I try to search for a file.,#3,search
7ce17778-afc9-11e6-a89e-c4b301cdf627,com.ringdroid,Good app but... Great soon but when I go to search  I get a force close window. Fix this issue and I'll put the stars back to 5... Running a Galaxy Note 4 on Lollipop 5.1.1,#3,search
7ce17e11-afc9-11e6-9b9a-c4b301cdf627,com.ringdroid,Update Please Used to work great but all it does now is crash and the few times it does work  it takes 4 to 5 minutes to load a song or any other audio file.,#3,search
7ce192ba-afc9-11e6-8ff7-c4b301cdf627,com.ringdroid,What happened? This was my favorite app  keeps crashing  won't load. Please fix,no,load
7ce1968f-afc9-11e6-8843-c4b301cdf627,com.ringdroid,WHY DID YOU DO THIS Worked great until latest update  DON'T DOWNLOAD. It will be a waste of time. App force closes when you search  won't fully load when you find your song  and will crash if you've made it any farther than that. Such a shame because it used to rock. Hopefully you've read this review and saved yourself the trouble,#3,search
7ce19899-afc9-11e6-b783-c4b301cdf627,com.ringdroid,Updates wrecked it Won't load songs to crop. Try to search library for song as soon as hit search error causes it to crash and close. Not sure why hasn't been fixed after all bad reviews...I waited ages hoping they would fix it. Never did.,#3,search
7ce19919-afc9-11e6-a600-c4b301cdf627,com.ringdroid,Now Broken! Like many others I have had this app since I've owned a smartphone. I just moved from the HTC One M8 to the HTC One M9. I probably never updated the app on my M8 and never had an issue. I reinstalled it on my M9 and it is completely broken. If it doesn't crash. It won't create or clip a ringtone anyway. So long and thanks for all the ringtones.,no,create
7ce1a599-afc9-11e6-8df6-c4b301cdf627,com.ringdroid,What happened? I've had this app forever and now it is constantly crashing . I think the developers abandoned it.,no,crash
7ce1a69c-afc9-11e6-81bb-c4b301cdf627,com.ringdroid,Sux now. Been using it for years. Haven't made a ringtone with it for about 6month's but it force closes everytime. Even after uninstalling and reinstalling,no,force
7ce1a721-afc9-11e6-9bb5-c4b301cdf627,com.ringdroid,Garbage Like everyone else is saying  it takes forever to load but then ends up crashing. IF it works I can only load 6 seconds of a song. FIX THIS NOW!,no,load
7ce1ac21-afc9-11e6-96ac-c4b301cdf627,com.ringdroid,What once was perfect.. ..is currently experiencing too many to justify keeping installed. Don't get me wrong  this app was marvelous  it really tussled by muffet  but now it crashes when you search  doesn't save file properly and fails at setting ringtone. Alas  now I must search elsewhere for an app to do what I could easily do in 10 seconds on a pc.,#3,search
7ce1b491-afc9-11e6-b835-c4b301cdf627,com.ringdroid,Doesn't work anymore. I hate to put such a bad review on such a good app  but it doesn't work anymore. When I'm searching for a song  or  at least try to  I type in 2 letters everytime and it crashes. I have had another user of this application contact me to see if it worked because he had the same problem I have. Please fix!,#3,search
7ce1c017-afc9-11e6-92b3-c4b301cdf627,com.ringdroid,Used to be great Not sure what happened  but now it Force Closes all the time. Very disappointed.,no,force
7ce1c99c-afc9-11e6-ac5e-c4b301cdf627,com.ringdroid,Can't find anything on SD card Plus  crashes often when I start searching. Other than that  still the best. Edit: found a workaround  navigate to mp3 with ES Explorer (or other file viewer) and open with Ringdroid.,#3,search
7ce1cd02-afc9-11e6-aeeb-c4b301cdf627,com.ringdroid,I love this app. However  a recent update now shows ALL music  including system sounds. I will update my review to five stars when given the option to choose only my music  like it used to be. Also  please fix freezing and crashing.,no,freeze
7ce1d019-afc9-11e6-94b5-c4b301cdf627,com.ringdroid,A Classic.. Used to be the best. Now it just crashes a LOT.,no,crash
7ce1d221-afc9-11e6-81d5-c4b301cdf627,com.ringdroid,Search bar issue The search bar doesn't work at all  when you tap it the app suddenly close,#3,search
7ce1d7b8-afc9-11e6-b331-c4b301cdf627,com.ringdroid,Search causes app to force close Whenever I go to search of an mp3 to load into the app  exactly when the keyboard pops up  it closes. Hopefully this'll be fixed soon  as I really like this app.,#3,search
7ce1db97-afc9-11e6-a7c1-c4b301cdf627,com.ringdroid,Crash  crash  crash Open and immediately crashes. Galaxy note 4.,no,open
7ce1e605-afc9-11e6-b698-c4b301cdf627,com.ringdroid,Crashed first time Never worked on my HTC one m7,no,crash
7ce1f02b-afc9-11e6-a3e1-c4b301cdf627,com.ringdroid,broken keeps crashing. please fix,no,crash
7ce1f130-afc9-11e6-9d4b-c4b301cdf627,com.ringdroid,Crashes Doesn't matter what device I try  phone or tablet  it will not stay open. Waste.,no,open
7ce1f52b-afc9-11e6-8ed1-c4b301cdf627,com.ringdroid,Used to be great. Was my go-to app for trimming music down to create alerts  ringtones  and alarms. Now it's literally unusable. On a stock Nexus 6  install app  open  click search  crash. Repeat this 6 times without a single working search = uninstall. Darn shame too  used to be so handy.,#3,search
7ce1f680-afc9-11e6-b69e-c4b301cdf627,com.ringdroid,Loads songs much slower. Doesn't fully reach the 100% mark. And then force closes. Please fix this!!,no,load
7ce1faa3-afc9-11e6-9bd7-c4b301cdf627,com.ringdroid,What happened?! I used to love this app! It has been my go to ringtone maker  until the update... I suppose anyway. I haven't used in awhile but I tried about 3 weeks ago and it kept force closing  I figured it was my POS phone. Well I got a new one and it still happens so it's useless... Bye Ringdroid it was fun while it lasted..,no,force
7ce20133-afc9-11e6-aec8-c4b301cdf627,com.ringdroid,Force closes When I go to search a song in my library  it force closes every time.,#3,search
7ce20242-afc9-11e6-b668-c4b301cdf627,com.ringdroid,This isn't working The song keeps loading and only gets to 98% then freezes and force closes. I tried with other songs and it does the same thing. Please fix.,no,load
7ce20a11-afc9-11e6-945d-c4b301cdf627,com.ringdroid,Used to be a great app...but... Ever since the update I can't search without it crashing. And all of my created ringtones are gone (this may be from taking my sd card out to transfer some files  not sure).,#3,search
7ce21461-afc9-11e6-9e7c-c4b301cdf627,com.ringdroid,Crash I'm unable to search. Everytime I try to search  it crashes... I used to love this app. Please fix...,#3,search
7ce21c8c-afc9-11e6-b930-c4b301cdf627,com.ringdroid,CTD on clicking the search box. Title says it all. Immediately crashes when clicking into the search box.,#3,search
7ce2288a-afc9-11e6-8420-c4b301cdf627,com.ringdroid,Force closes on song list Almost instantly force closes when I first open the app.,#3,search
7ce2290c-afc9-11e6-9266-c4b301cdf627,com.ringdroid,Since the new update it crashes when I try to search for a song  it takes forever to load songs and half of them don't load properly  sounds like someone has slowed them down dramatically on a record player and it doesn't even sound like the song at all. Fix this!,#3,search
7ce242c0-afc9-11e6-88e7-c4b301cdf627,com.ringdroid,Great concept! Didn't work! Crashed every time is try to search,#3,search
7ce246bd-afc9-11e6-9056-c4b301cdf627,com.ringdroid,keeps crashing I used to love it but recently every time I hit Search it crashes fix its,#3,search
7ce2821c-afc9-11e6-a488-c4b301cdf627,com.ringdroid,Worst app ever i used .. Its got crashed everytime when i make ringtone and select as default.,no,default
7ce285f0-afc9-11e6-92c7-c4b301cdf627,com.ringdroid,Force closing...,no,force
7ce28af0-afc9-11e6-aaeb-c4b301cdf627,com.ringdroid,Always force close message,no,force
7ce293cc-afc9-11e6-8a9d-c4b301cdf627,com.ringdroid,What happened?? Won't stop force closing.. Fail..,no,force
7ce2954a-afc9-11e6-a9ab-c4b301cdf627,com.ringdroid,Suck right now it s totally crashed after updates. wat wrong with u guys ? why make a good app currently become an useless app ?? make it right please ...dev team !,no,crash
7ce2a291-afc9-11e6-a50c-c4b301cdf627,com.ringdroid,Crashes Sucks,no,crash
7ce2a40f-afc9-11e6-a86b-c4b301cdf627,com.ringdroid,Too bad. I loved this app until about 5 minutes ago when every time I made a clip  the app forced closed on the save. Uninstalled _´è_´è_,no,save
7ce2b4b3-afc9-11e6-92dc-c4b301cdf627,com.ringdroid,KEEPS CRASHING The moment I go to save a ringtone or anything  it goes into telling me the app isn't responding. EACH TIME FROM THE MOMENT I DOWNLOADED IT!,no,save
